customer_key,customer_id,customer_number,customer_firstname,customer_lastname,customer_marital_status,customer_gender,customer_birthday,cntry,customer_create_date
35,11034,AW00011034,Ebony,Gonzalez,marry,female,1952-12-16,AUSTRALIA,2025-10-07
36,11035,AW00011035,Wendy,Dominguez,marry,female,1953-08-23,AUSTRALIA,2025-10-07
37,11036,AW00011036,Jennifer,Russell,marry,female,1984-06-16,UNITED STATES,2025-10-07
38,11037,AW00011037,Chloe,Garcia,single,female,1983-05-27,CANADA,2025-10-07
39,11038,AW00011038,Diana,Hernandez,marry,female,1953-09-20,AUSTRALIA,2025-10-07
40,11039,AW00011039,Marc,Martin,marry,male,1954-06-16,AUSTRALIA,2025-10-07
41,11040,AW00011040,Jesse,Murphy,marry,male,1983-01-29,UNITED STATES,2025-10-07
42,11041,AW00011041,Amanda,Carter,marry,female,1983-04-15,UNITED STATES,2025-10-07
43,11042,AW00011042,Megan,Sanchez,marry,female,1982-12-11,UNITED STATES,2025-10-07
44,11043,AW00011043,Nathan,Simmons,marry,male,1981-08-23,UNITED STATES,2025-10-07
45,11044,AW00011044,Adam,Flores,marry,male,1954-11-21,AUSTRALIA,2025-10-07
46,11045,AW00011045,Leonard,Nara,single,male,1955-11-16,AUSTRALIA,2025-10-07
47,11046,AW00011046,Christine,Yuan,marry,female,1955-09-19,AUSTRALIA,2025-10-07
48,11047,AW00011047,Jaclyn,Lu,marry,female,1955-08-27,AUSTRALIA,2025-10-07
49,11048,AW00011048,Jeremy,Powell,marry,male,1956-05-21,AUSTRALIA,2025-10-07
50,11049,AW00011049,Carol,Rai,single,female,1986-01-15,UNITED STATES,2025-10-07
51,11050,AW00011050,Alan,Zheng,marry,male,1957-03-06,AUSTRALIA,2025-10-07
52,11051,AW00011051,Daniel,Johnson,single,male,1957-01-31,AUSTRALIA,2025-10-07
53,11052,AW00011052,Heidi,Lopez,single,female,1957-02-03,AUSTRALIA,2025-10-07
54,11053,AW00011053,Ana,Price,marry,female,1986-02-17,UNITED STATES,2025-10-07
55,11054,AW00011054,Deanna,Munoz,marry,female,1957-09-07,AUSTRALIA,2025-10-07
56,11055,AW00011055,Gilbert,Raje,marry,male,1957-09-02,AUSTRALIA,2025-10-07
57,11056,AW00011056,Michele,Nath,marry,female,1958-10-01,AUSTRALIA,2025-10-07
58,11057,AW00011057,Carl,Andersen,marry,male,1970-04-07,AUSTRALIA,2025-10-07
59,11058,AW00011058,Marc,Diaz,marry,male,1965-04-23,AUSTRALIA,2025-10-07
60,11059,AW00011059,Ashlee,Andersen,single,female,1959-09-29,AUSTRALIA,2025-10-07
61,11060,AW00011060,Jon,Zhou,marry,male,1959-09-14,AUSTRALIA,2025-10-07
62,11061,AW00011061,Todd,Gao,marry,male,1976-02-20,AUSTRALIA,2025-10-07
63,11062,AW00011062,Noah,Powell,marry,male,1981-03-01,UNITED STATES,2025-10-07
64,11063,AW00011063,Angela,Murphy,single,female,1980-10-04,UNITED STATES,2025-10-07
65,11064,AW00011064,Chase,Reed,marry,male,1981-06-05,UNITED STATES,2025-10-07
66,11065,AW00011065,Jessica,Henderson,marry,female,1979-04-08,UNITED STATES,2025-10-07
67,11066,AW00011066,Grace,Butler,marry,female,1979-05-27,UNITED STATES,2025-10-07
68,11067,AW00011067,Caleb,Carter,single,male,1982-03-25,UNITED STATES,2025-10-07
69,11068,AW00011068,Tiffany,Liang,single,female,1966-09-19,AUSTRALIA,2025-10-07
70,11069,AW00011069,Carolyn,Navarro,single,female,1966-09-17,AUSTRALIA,2025-10-07
71,11070,AW00011070,Willie,Raji,marry,male,1960-10-02,AUSTRALIA,2025-10-07
72,11071,AW00011071,Linda,Serrano,single,female,1960-12-23,AUSTRALIA,2025-10-07
73,11072,AW00011072,Casey,Luo,single,female,1960-08-05,AUSTRALIA,2025-10-07
74,11073,AW00011073,Amy,Ye,single,female,1962-02-11,AUSTRALIA,2025-10-07
75,11074,AW00011074,Levi,Arun,single,male,1962-02-25,AUSTRALIA,2025-10-07
76,11075,AW00011075,Felicia,Jimenez,single,female,1963-05-16,AUSTRALIA,2025-10-07
77,11076,AW00011076,Blake,Anderson,single,male,1963-01-10,AUSTRALIA,2025-10-07
78,11077,AW00011077,Leah,Ye,single,female,1963-03-19,AUSTRALIA,2025-10-07
79,11078,AW00011078,Gina,Martin,single,female,1985-01-06,CANADA,2025-10-07
80,11079,AW00011079,Donald,Gonzalez,single,male,1970-03-07,AUSTRALIA,2025-10-07
81,11080,AW00011080,Damien,Chander,marry,male,1965-01-13,AUSTRALIA,2025-10-07
82,11081,AW00011081,Savannah,Baker,marry,female,1972-01-21,UNITED STATES,2025-10-07
83,11082,AW00011082,Angela,Butler,single,female,1972-02-01,UNITED STATES,2025-10-07
84,11083,AW00011083,Alyssa,Cox,marry,female,1977-03-11,UNITED STATES,2025-10-07
85,11084,AW00011084,Lucas,Phillips,single,male,1963-03-12,UNITED STATES,2025-10-07
86,11085,AW00011085,Emily,Johnson,single,female,1963-01-16,UNITED STATES,2025-10-07
87,11086,AW00011086,Ryan,Brown,marry,male,1963-06-22,UNITED STATES,2025-10-07
88,11087,AW00011087,Tamara,Liang,marry,female,1963-04-02,UNITED STATES,2025-10-07
89,11088,AW00011088,Hunter,Davis,marry,male,1963-05-25,UNITED STATES,2025-10-07
90,11089,AW00011089,Abigail,Price,single,female,1962-08-05,UNITED STATES,2025-10-07
91,11090,AW00011090,Trevor,Bryant,single,male,1968-12-13,UNITED STATES,2025-10-07
92,11091,AW00011091,Dalton,Perez,marry,male,1962-10-02,CANADA,2025-10-07
93,11092,AW00011092,Cheryl,Diaz,marry,female,1972-11-02,AUSTRALIA,2025-10-07
94,11093,AW00011093,Aimee,He,marry,female,1978-09-06,AUSTRALIA,2025-10-07
95,11094,AW00011094,Cedric,Ma,single,male,1967-09-29,AUSTRALIA,2025-10-07
96,11095,AW00011095,Chad,Kumar,single,male,1968-02-29,AUSTRALIA,2025-10-07
97,11096,AW00011096,Andr+¬s,Anand,marry,male,1968-02-07,AUSTRALIA,2025-10-07
98,11097,AW00011097,Edwin,Nara,marry,male,1972-10-23,AUSTRALIA,2025-10-07
99,11098,AW00011098,Mallory,Rubio,single,female,1966-10-29,AUSTRALIA,2025-10-07
100,11099,AW00011099,Adam,Ross,marry,male,1966-09-05,AUSTRALIA,2025-10-07
101,11100,AW00011100,Latasha,Navarro,single,female,1966-03-15,AUSTRALIA,2025-10-07
102,11101,AW00011101,Abby,Sai,single,female,1970-11-05,AUSTRALIA,2025-10-07
103,11102,AW00011102,Julia,Nelson,single,female,1970-10-19,AUSTRALIA,2025-10-07
104,11103,AW00011103,Cassie,Chande,single,female,1981-04-12,AUSTRALIA,2025-10-07
105,11104,AW00011104,Edgar,Sara,marry,male,1975-03-08,AUSTRALIA,2025-10-07
106,11105,AW00011105,Candace,Fernandez,single,female,1970-06-27,AUSTRALIA,2025-10-07
107,11106,AW00011106,Jessie,Liu,single,male,1970-03-11,AUSTRALIA,2025-10-07
108,11107,AW00011107,Bianca,Lin,marry,female,1976-03-04,AUSTRALIA,2025-10-07
109,11108,AW00011108,Kari,Alvarez,single,female,1969-01-10,AUSTRALIA,2025-10-07
110,11109,AW00011109,Ruben,Kapoor,single,male,1980-04-30,AUSTRALIA,2025-10-07
111,11110,AW00011110,Curtis,Yang,marry,male,1967-12-04,AUSTRALIA,2025-10-07
112,11111,AW00011111,Meredith,Gutierrez,marry,female,1967-08-23,AUSTRALIA,2025-10-07
113,11112,AW00011112,Crystal,Wang,marry,female,1968-03-08,AUSTRALIA,2025-10-07
114,11113,AW00011113,Micheal,Blanco,marry,male,1973-02-17,AUSTRALIA,2025-10-07
115,11114,AW00011114,Leslie,Moreno,single,female,1967-11-25,AUSTRALIA,2025-10-07
116,11115,AW00011115,Alvin,Cai,marry,male,1967-08-12,AUSTRALIA,2025-10-07
117,11116,AW00011116,Clinton,Carlson,marry,male,1979-04-02,AUSTRALIA,2025-10-07
118,11117,AW00011117,April,Deng,marry,female,1966-08-21,AUSTRALIA,2025-10-07
119,11118,AW00011118,Alvin,Zeng,single,male,1962-12-31,AUSTRALIA,2025-10-07
120,11119,AW00011119,Evan,James,single,male,1940-10-07,AUSTRALIA,2025-10-07
121,11120,AW00011120,Beth,Jim+¬nez,single,female,1942-02-06,AUSTRALIA,2025-10-07
122,11121,AW00011121,Orlando,Suarez,marry,male,1966-05-18,AUSTRALIA,2025-10-07
123,11122,AW00011122,Byron,Vazquez,marry,male,1965-09-30,AUSTRALIA,2025-10-07
124,11123,AW00011123,Philip,Alvarez,marry,male,1965-12-18,AUSTRALIA,2025-10-07
125,11124,AW00011124,Ross,Jordan,single,male,1968-07-23,AUSTRALIA,2025-10-07
126,11125,AW00011125,Dana,Navarro,single,female,1961-10-06,AUSTRALIA,2025-10-07
127,11126,AW00011126,Shaun,Carson,marry,male,1954-10-05,AUSTRALIA,2025-10-07
128,11127,AW00011127,Jan,Edwards,marry,female,1981-04-19,UNITED STATES,2025-10-07
129,11128,AW00011128,Samantha,Long,marry,female,1981-06-03,UNITED STATES,2025-10-07
130,11129,AW00011129,Julia,Wright,single,female,1981-02-01,UNITED STATES,2025-10-07
131,11130,AW00011130,Caroline,Russell,marry,female,1985-07-05,UNITED STATES,2025-10-07
132,11131,AW00011131,Amanda,Rivera,marry,female,1985-09-09,CANADA,2025-10-07
133,11132,AW00011132,Melissa,Richardson,single,female,1986-04-25,CANADA,2025-10-07
134,11133,AW00011133,Angela,Griffin,single,female,1986-03-08,UNITED STATES,2025-10-07
135,11134,AW00011134,Larry,Townsend,single,male,1957-02-22,AUSTRALIA,2025-10-07
136,11135,AW00011135,Marcus,Harris,single,male,1985-05-02,UNITED STATES,2025-10-07
137,11136,AW00011136,Brianna,Morgan,single,female,1984-04-24,CANADA,2025-10-07
138,11137,AW00011137,Jasmine,Taylor,marry,female,1984-01-17,UNITED STATES,2025-10-07
139,11138,AW00011138,Lauren,Davis,marry,female,1984-03-14,UNITED STATES,2025-10-07
140,11139,AW00011139,Tanya,Moreno,single,female,1949-11-05,AUSTRALIA,2025-10-07
141,11140,AW00011140,Javier,Alvarez,single,male,1982-08-11,UNITED STATES,2025-10-07
142,11141,AW00011141,Nicole,Ramirez,marry,female,1982-12-19,UNITED STATES,2025-10-07
143,11142,AW00011142,Eduardo,Patterson,single,male,1983-02-11,CANADA,2025-10-07
144,11143,AW00011143,Jonathan,Henderson,marry,male,1982-08-04,UNITED STATES,2025-10-07
145,11144,AW00011144,Edward,Hernandez,single,male,1985-03-08,UNITED STATES,2025-10-07
146,11145,AW00011145,Jasmine,Coleman,single,female,1985-06-06,UNITED STATES,2025-10-07
147,11146,AW00011146,Karla,Goel,single,female,1945-02-22,AUSTRALIA,2025-10-07
148,11147,AW00011147,Ernest,Wu,marry,male,1944-08-04,AUSTRALIA,2025-10-07
149,11148,AW00011148,Ross,Vazquez,marry,male,1947-02-13,AUSTRALIA,2025-10-07
150,11149,AW00011149,Theodore,Gill,marry,male,1946-10-18,AUSTRALIA,2025-10-07
151,11150,AW00011150,Russell,Shen,single,male,1946-09-12,AUSTRALIA,2025-10-07
152,11151,AW00011151,Melinda,Gill,single,female,1947-08-25,AUSTRALIA,2025-10-07
153,11152,AW00011152,James,Williams,single,male,1981-07-09,UNITED STATES,2025-10-07
154,11153,AW00011153,Angela,James,marry,female,1981-12-21,UNITED STATES,2025-10-07
155,11154,AW00011154,Megan,Walker,single,female,1982-02-18,UNITED STATES,2025-10-07
156,11155,AW00011155,Hunter,Robinson,single,male,1981-07-25,UNITED STATES,2025-10-07
157,11156,AW00011156,Maria,Roberts,single,female,1981-08-06,UNITED STATES,2025-10-07
158,11157,AW00011157,Hannah,Long,marry,female,1980-12-08,UNITED STATES,2025-10-07
159,11158,AW00011158,Jason,Wright,single,male,1981-04-06,UNITED STATES,2025-10-07
160,11159,AW00011159,Brianna,Hughes,single,female,1981-03-16,UNITED STATES,2025-10-07
161,11160,AW00011160,Maurice,Tang,single,male,1979-07-08,UNITED STATES,2025-10-07
162,11161,AW00011161,Emily,Wood,single,female,1979-10-20,UNITED STATES,2025-10-07
163,11162,AW00011162,Chase,Cox,single,male,1979-09-02,UNITED STATES,2025-10-07
164,11163,AW00011163,Gabriel,Wang,marry,male,1980-06-18,UNITED STATES,2025-10-07
165,11164,AW00011164,Devin,Brooks,single,male,1979-11-02,UNITED STATES,2025-10-07
166,11165,AW00011165,Jocelyn,Alexander,marry,female,1979-01-15,UNITED STATES,2025-10-07
167,11166,AW00011166,Ashley,Martinez,single,female,1977-10-22,UNITED STATES,2025-10-07
168,11167,AW00011167,Jasmine,Barnes,single,female,1978-01-29,UNITED STATES,2025-10-07
169,11168,AW00011168,David,Rodriguez,single,male,1973-11-12,UNITED STATES,2025-10-07
170,11169,AW00011169,Bryce,Richardson,marry,male,1973-12-20,UNITED STATES,2025-10-07
171,11170,AW00011170,Carol,Howard,marry,female,1973-08-04,UNITED STATES,2025-10-07
172,11171,AW00011171,Jonathan,Hill,single,male,1978-10-05,UNITED STATES,2025-10-07
173,11172,AW00011172,Gabrielle,Adams,marry,female,1973-05-20,UNITED STATES,2025-10-07
174,11173,AW00011173,Sarah,Thomas,single,female,1973-02-28,UNITED STATES,2025-10-07
175,11174,AW00011174,Nicholas,Robinson,marry,male,1973-01-09,UNITED STATES,2025-10-07
176,11175,AW00011175,Luis,Wang,single,male,1968-09-01,UNITED STATES,2025-10-07
177,11176,AW00011176,Mason,Roberts,marry,male,1979-01-21,CANADA,2025-10-07
178,11177,AW00011177,Jose,Flores,marry,male,1948-01-01,UNITED STATES,2025-10-07
179,11178,AW00011178,Nathan,Johnson,marry,male,1954-08-20,UNITED STATES,2025-10-07
180,11179,AW00011179,Molly,Rodriguez,marry,female,1959-12-08,UNITED STATES,2025-10-07
181,11180,AW00011180,April,Anand,marry,female,1948-07-01,UNITED STATES,2025-10-07
182,11181,AW00011181,Devin,Martin,marry,male,1960-02-01,UNITED STATES,2025-10-07
183,11182,AW00011182,Stephanie,Torres,single,female,1950-02-22,UNITED STATES,2025-10-07
184,11183,AW00011183,Jasmine,Lee,single,female,1950-01-12,UNITED STATES,2025-10-07
185,11184,AW00011184,Meghan,Hernandez,single,female,1955-11-13,UNITED STATES,2025-10-07
186,11185,AW00011185,Ashley,Henderson,single,female,1950-04-07,CANADA,2025-10-07
187,11186,AW00011186,Sarah,Price,single,female,1949-11-18,UNITED STATES,2025-10-07
188,11187,AW00011187,Jennifer,Cooper,marry,female,1949-08-21,UNITED STATES,2025-10-07
189,11188,AW00011188,Catherine,Morris,marry,female,1950-03-06,UNITED STATES,2025-10-07
190,11189,AW00011189,Lawrence,Blanco,single,male,1950-01-12,UNITED STATES,2025-10-07
191,11190,AW00011190,Carson,Bryant,marry,male,1949-12-20,UNITED STATES,2025-10-07
192,11191,AW00011191,Kristi,Perez,single,female,1951-06-17,UNITED STATES,2025-10-07
193,11192,AW00011192,James,Brown,marry,male,1951-03-13,UNITED STATES,2025-10-07
194,11193,AW00011193,Ian,Gray,marry,male,1950-08-13,UNITED STATES,2025-10-07
195,11194,AW00011194,Jacqueline,Price,marry,female,1950-12-08,UNITED STATES,2025-10-07
196,11195,AW00011195,Megan,Henderson,marry,female,1951-08-10,UNITED STATES,2025-10-07
197,11196,AW00011196,Alfredo,Romero,marry,male,1951-12-05,UNITED STATES,2025-10-07
198,11197,AW00011197,Andrea,Morris,marry,female,1951-12-16,UNITED STATES,2025-10-08
199,11198,AW00011198,Brooke,Sanders,single,female,1952-05-25,UNITED STATES,2025-10-08
200,11199,AW00011199,Jacqueline,Bennett,marry,female,1957-11-02,UNITED STATES,2025-10-08
201,11200,AW00011200,Jason,Griffin,marry,male,1953-05-21,CANADA,2025-10-08
202,11201,AW00011201,Amanda,Foster,marry,female,1953-02-14,UNITED STATES,2025-10-08
203,11202,AW00011202,Alexia,Price,marry,female,1958-08-22,UNITED STATES,2025-10-08
204,11203,AW00011203,Luis,Diaz,marry,male,1959-08-18,CANADA,2025-10-08
205,11204,AW00011204,Destiny,Rivera,marry,female,1953-11-29,UNITED STATES,2025-10-08
206,11205,AW00011205,Abby,Fernandez,marry,female,1954-01-21,UNITED STATES,2025-10-08
207,11206,AW00011206,Blake,Flores,marry,male,1954-03-24,UNITED STATES,2025-10-08
208,11207,AW00011207,Danielle,Cox,single,female,1954-01-16,UNITED STATES,2025-10-08
209,11208,AW00011208,Maria,Reed,marry,female,1953-08-03,UNITED STATES,2025-10-08
210,11209,AW00011209,Allison,Evans,marry,female,1953-07-12,UNITED STATES,2025-10-08
211,11210,AW00011210,Edward,Wood,marry,male,1953-12-06,UNITED STATES,2025-10-08
212,11211,AW00011211,Samantha,Russell,marry,female,1960-10-08,CANADA,2025-10-08
213,11212,AW00011212,Chloe,Campbell,marry,female,1955-05-05,CANADA,2025-10-08
214,11213,AW00011213,Stephanie,Murphy,single,female,1954-11-11,UNITED STATES,2025-10-08
215,11214,AW00011214,Charles,Miller,single,male,1955-05-07,UNITED STATES,2025-10-08
216,11215,AW00011215,Ana,Perry,marry,female,1961-06-17,CANADA,2025-10-08
217,11216,AW00011216,Jasmine,Torres,single,female,1955-11-17,UNITED STATES,2025-10-08
218,11217,AW00011217,Natalie,Adams,single,female,1955-08-11,UNITED STATES,2025-10-08
219,11218,AW00011218,Olivia,Brown,single,female,1961-09-07,UNITED STATES,2025-10-08
220,11219,AW00011219,Charles,Cook,marry,male,1956-05-31,UNITED STATES,2025-10-08
221,11220,AW00011220,Erica,Huang,marry,female,1961-02-19,UNITED STATES,2025-10-08
222,11221,AW00011221,Nathan,Perry,marry,male,1955-12-08,UNITED STATES,2025-10-08
223,11222,AW00011222,Alexandra,Rivera,marry,female,1956-02-14,UNITED STATES,2025-10-08
224,11223,AW00011223,Hailey,Patterson,single,female,1957-03-15,CANADA,2025-10-08
225,11224,AW00011224,Tiffany,Li,single,female,1957-03-05,UNITED STATES,2025-10-08
226,11225,AW00011225,Madison,Lee,marry,female,1962-02-12,UNITED STATES,2025-10-08
227,11226,AW00011226,Sydney,Ross,marry,female,1962-09-23,UNITED STATES,2025-10-08
228,11227,AW00011227,Marshall,Chavez,single,male,1962-08-08,UNITED STATES,2025-10-08
229,11228,AW00011228,Ashley,Jones,marry,female,1956-10-16,UNITED STATES,2025-10-08
230,11229,AW00011229,Adrian,Stewart,single,male,1957-06-01,UNITED STATES,2025-10-08
231,11230,AW00011230,Amber,Turner,marry,female,1956-09-30,UNITED STATES,2025-10-08
232,11231,AW00011231,Dennis,Zhang,marry,male,1963-11-11,UNITED STATES,2025-10-08
233,11232,AW00011232,Hailey,Bryant,marry,female,1958-03-27,UNITED STATES,2025-10-08
234,11233,AW00011233,Todd,Li,marry,male,1963-09-06,UNITED STATES,2025-10-08
235,11234,AW00011234,Anna,Griffin,single,female,1958-05-19,UNITED STATES,2025-10-08
236,11235,AW00011235,Angel,Stewart,marry,male,1957-08-07,UNITED STATES,2025-10-08
237,11236,AW00011236,Jeremy,Butler,single,male,1957-09-02,UNITED STATES,2025-10-08
238,11237,AW00011237,Clarence,Anand,single,male,1964-03-22,GERMANY,2025-10-08
239,11238,AW00011238,Mayra,Prasad,single,female,1964-02-07,n/a,2025-10-08
240,11239,AW00011239,Latoya,Goel,marry,female,1969-10-02,n/a,2025-10-08
241,11240,AW00011240,Anne,Hernandez,marry,female,1964-06-09,n/a,2025-10-08
242,11241,AW00011241,Lisa,Cai,single,female,1974-04-06,FRANCE,2025-10-08
243,11242,AW00011242,Larry,Munoz,marry,male,1963-05-11,FRANCE,2025-10-08
244,11243,AW00011243,Robin,Alvarez,marry,female,1963-04-08,n/a,2025-10-08
245,11244,AW00011244,Alexis,Coleman,single,female,1968-11-22,n/a,2025-10-08
246,11245,AW00011245,Ricky,Vazquez,marry,male,1962-04-26,GERMANY,2025-10-08
247,11246,AW00011246,Latasha,Rubio,marry,female,1962-04-08,GERMANY,2025-10-08
248,11247,AW00011247,Claudia,Zhou,single,female,1961-12-04,n/a,2025-10-08
249,11248,AW00011248,Tristan,Alexander,marry,male,1966-03-22,FRANCE,2025-10-08
250,11249,AW00011249,Cindy,Patel,marry,female,1966-07-09,GERMANY,2025-10-08
251,11250,AW00011250,Shannon,Liu,marry,female,1966-03-08,n/a,2025-10-08
252,11251,AW00011251,Xavier,Long,single,male,1938-01-01,CANADA,2025-10-08
253,11252,AW00011252,Nicholas,Thompson,single,male,1937-12-05,UNITED STATES,2025-10-08
254,11253,AW00011253,Jos+¬,Hernandez,marry,male,1949-08-24,CANADA,2025-10-08
255,11254,AW00011254,Johnathan,Vance,marry,male,1938-08-31,UNITED STATES,2025-10-08
256,11255,AW00011255,Colin,Lin,marry,male,1938-10-02,UNITED STATES,2025-10-08
257,11256,AW00011256,Katelyn,Hernandez,marry,female,1939-03-20,UNITED STATES,2025-10-08
258,11257,AW00011257,Jacqueline,Powell,single,female,,UNITED STATES,2025-10-08
259,11258,AW00011258,Xavier,Hill,marry,male,1938-12-26,UNITED STATES,2025-10-08
260,11259,AW00011259,Victoria,Stewart,marry,female,1970-09-24,UNITED STATES,2025-10-08
261,11260,AW00011260,Katelyn,Kelly,marry,female,1976-04-08,UNITED STATES,2025-10-08
262,11261,AW00011261,Stephanie,Collins,marry,female,1970-10-22,UNITED STATES,2025-10-08
263,11262,AW00011262,Jennifer,Simmons,marry,female,1975-05-01,CANADA,2025-10-08
264,11263,AW00011263,Trinity,Richardson,marry,female,1970-03-11,UNITED STATES,2025-10-08
265,11264,AW00011264,Eduardo,Martin,single,male,1969-12-15,UNITED STATES,2025-10-08
266,11265,AW00011265,Elizabeth,Jones,marry,female,1970-01-10,UNITED STATES,2025-10-08
267,11266,AW00011266,Taylor,Howard,single,female,1969-11-02,UNITED STATES,2025-10-08
268,11267,AW00011267,David,Diaz,single,male,1975-09-29,UNITED STATES,2025-10-08
269,11268,AW00011268,Katelyn,Carter,marry,female,1969-10-31,UNITED STATES,2025-10-08
270,11269,AW00011269,Ryan,Foster,marry,male,1975-10-10,UNITED STATES,2025-10-08
271,11270,AW00011270,Robert,Lee,marry,male,1975-05-01,UNITED STATES,2025-10-08
272,11271,AW00011271,Danielle,Reed,single,female,1969-12-03,UNITED STATES,2025-10-08
273,11272,AW00011272,Lauren,Martinez,single,female,1962-05-10,UNITED STATES,2025-10-08
274,11273,AW00011273,Nathan,Lal,marry,male,1962-03-31,UNITED STATES,2025-10-08
275,11274,AW00011274,Kyle,Foster,marry,male,1939-10-10,UNITED STATES,2025-10-08
276,11275,AW00011275,Jenny,Rai,marry,female,1939-07-18,UNITED STATES,2025-10-08
277,11276,AW00011276,Nancy,Chapman,marry,female,1974-09-15,CANADA,2025-10-08
278,11277,AW00011277,Charles,Jackson,marry,male,1968-12-07,CANADA,2025-10-08
279,11278,AW00011278,Jonathan,Phillips,single,male,1969-02-16,UNITED STATES,2025-10-08
280,11279,AW00011279,Amanda,Cook,marry,female,1974-09-08,UNITED STATES,2025-10-08
281,11280,AW00011280,Robert,Collins,marry,male,1969-02-17,UNITED STATES,2025-10-08
282,11281,AW00011281,Megan,Barnes,single,female,1974-10-06,UNITED STATES,2025-10-08
283,11282,AW00011282,Christian,Thomas,marry,male,1967-07-16,UNITED STATES,2025-10-08
284,11283,AW00011283,Arturo,Lal,marry,male,1968-04-24,UNITED STATES,2025-10-08
285,11284,AW00011284,Theresa,Serrano,marry,female,1967-09-24,UNITED STATES,2025-10-08
286,11285,AW00011285,Jeremy,Anderson,marry,male,1973-03-15,UNITED STATES,2025-10-08
287,11286,AW00011286,Hunter,Griffin,marry,male,1967-08-31,UNITED STATES,2025-10-08
288,11287,AW00011287,Henry,Garcia,marry,male,1966-07-16,CANADA,2025-10-08
289,11288,AW00011288,Cindy,Sanchez,marry,female,1978-03-12,UNITED STATES,2025-10-08
290,11289,AW00011289,Maria,Carter,marry,female,1972-03-03,UNITED STATES,2025-10-08
291,11290,AW00011290,Katelyn,Sanchez,marry,female,1972-08-14,UNITED STATES,2025-10-08
292,11291,AW00011291,Jenna,Wright,marry,female,1972-05-01,UNITED STATES,2025-10-08
293,11292,AW00011292,Seth,Phillips,single,male,1967-05-05,UNITED STATES,2025-10-08
294,11293,AW00011293,Luke,Long,single,male,1960-11-23,UNITED STATES,2025-10-08
295,11294,AW00011294,Dalton,Clark,marry,male,1961-03-02,UNITED STATES,2025-10-08
296,11295,AW00011295,Taylor,Lewis,single,female,1959-11-13,UNITED STATES,2025-10-08
